Report Number,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,,,,
3693,Delhi,271,ROBBERY,32,F,Firearm,Violent Crime,14,Yes,,,,
3694,Pune,215,VEHICLE - STOLEN,49,F,Knife,Violent Crime,9,No,,,,
3695,Bangalore,172,ASSAULT,29,F,Blunt Object,Violent Crime,5,Yes,,,,
3696,Ahmedabad,568,TRAFFIC VIOLATION,66,F,Knife,Traffic Fatality,14,Yes,,,,
3697,Chennai,504,BURGLARY,25,M,Poison,Other Crime,17,No,,,,
3698,Chennai,375,ILLEGAL POSSESSION,48,F,Firearm,Other Crime,14,No,,,,
3699,Hyderabad,401,COUNTERFEITING,54,M,Poison,Other Crime,4,No,,,,
3700,Visakhapatnam,453,KIDNAPPING,54,F,Poison,Other Crime,13,No,,,,
3701,Delhi,344,IDENTITY THEFT,58,M,Explosives,Violent Crime,19,Yes,,,,
3702,Surat,145,KIDNAPPING,13,M,None,Other Crime,10,No,,,,
3703,Hyderabad,121,KIDNAPPING,45,F,None,Other Crime,11,No,,,,
3704,Ahmedabad,371,ARSON,44,F,Blunt Object,Fire Accident,16,No,,,,
3705,Kanpur,497,ROBBERY,63,M,Poison,Violent Crime,5,No,,,,
3706,Hyderabad,226,DRUG OFFENSE,13,F,Explosives,Other Crime,2,No,,,,
3707,Kolkata,359,EXTORTION,30,F,None,Other Crime,6,Yes,,,,
3708,Chennai,469,SHOPLIFTING,28,F,Blunt Object,Other Crime,5,Yes,,,,
3709,Mumbai,178,DOMESTIC VIOLENCE,53,F,Knife,Violent Crime,3,No,,,,
3710,Kolkata,393,DOMESTIC VIOLENCE,67,F,Explosives,Violent Crime,12,No,,,,
3711,Thane,130,HOMICIDE,63,F,Explosives,Other Crime,6,Yes,,,,
3712,Chennai,403,VEHICLE - STOLEN,74,M,Knife,Violent Crime,9,No,,,,
3713,Nagpur,139,SHOPLIFTING,75,F,Blunt Object,Other Crime,10,Yes,,,,
3714,Delhi,202,FRAUD,14,F,Other,Other Crime,13,No,,,,
3715,Rajkot,210,EXTORTION,60,F,Firearm,Other Crime,7,Yes,,,,
3716,Chennai,113,COUNTERFEITING,55,F,Other,Other Crime,9,No,,,,
3717,Chennai,209,TRAFFIC VIOLATION,13,F,None,Traffic Fatality,15,Yes,,,,
3718,Ghaziabad,317,COUNTERFEITING,35,M,Knife,Other Crime,4,Yes,,,,
3719,Thane,451,CYBERCRIME,20,M,None,Other Crime,12,No,,,,
3720,Kolkata,296,SEXUAL ASSAULT,56,F,Explosives,Violent Crime,17,Yes,,,,
3721,Kanpur,573,FIREARM OFFENSE,47,F,Knife,Fire Accident,6,Yes,,,,
3722,Visakhapatnam,216,KIDNAPPING,39,F,Firearm,Other Crime,3,Yes,,,,
3723,Delhi,363,KIDNAPPING,76,M,Knife,Other Crime,11,Yes,,,,
3724,Kolkata,217,FIREARM OFFENSE,11,F,Poison,Fire Accident,19,Yes,,,,
3725,Ahmedabad,190,DOMESTIC VIOLENCE,32,F,Firearm,Violent Crime,18,No,,,,
3726,Nagpur,523,HOMICIDE,38,M,Firearm,Other Crime,3,No,,,,
3727,Hyderabad,272,FRAUD,56,M,Other,Other Crime,2,Yes,,,,
3728,Mumbai,187,SHOPLIFTING,71,F,Knife,Other Crime,16,No,,,,
3729,Indore,470,COUNTERFEITING,76,M,Explosives,Other Crime,19,Yes,,,,
3730,Mumbai,213,ILLEGAL POSSESSION,78,F,Other,Other Crime,11,Yes,,,,
3731,Mumbai,236,VEHICLE - STOLEN,77,F,None,Violent Crime,4,Yes,,,,
3732,Visakhapatnam,130,COUNTERFEITING,59,M,Poison,Other Crime,18,No,,,,
3733,Jaipur,418,SHOPLIFTING,18,F,Blunt Object,Other Crime,2,Yes,,,,
3734,Delhi,549,TRAFFIC VIOLATION,57,M,None,Traffic Fatality,18,No,,,,
3735,Bangalore,383,VANDALISM,42,M,Blunt Object,Other Crime,12,Yes,,,,
3736,Pune,576,ROBBERY,15,F,Knife,Violent Crime,1,Yes,,,,
3737,Bangalore,528,EXTORTION,47,F,Poison,Other Crime,3,No,,,,
3738,Chennai,463,BURGLARY,17,F,Blunt Object,Other Crime,5,Yes,,,,
3739,Bhopal,435,ARSON,55,M,Blunt Object,Fire Accident,11,Yes,,,,
3740,Mumbai,358,FRAUD,50,F,Other,Other Crime,6,Yes,,,,
3741,Thane,508,KIDNAPPING,52,F,Firearm,Other Crime,7,No,,,,
3742,Mumbai,554,DOMESTIC VIOLENCE,59,M,None,Violent Crime,19,No,,,,
3743,Hyderabad,432,VEHICLE - STOLEN,15,F,Other,Violent Crime,9,No,,,,
3744,Agra,471,SHOPLIFTING,25,M,Other,Other Crime,17,No,,,,
3745,Ahmedabad,115,TRAFFIC VIOLATION,58,M,Blunt Object,Traffic Fatality,5,Yes,,,,
3746,Delhi,268,ILLEGAL POSSESSION,42,F,Firearm,Other Crime,8,Yes,,,,
3747,Delhi,417,ARSON,48,F,Poison,Fire Accident,5,No,,,,
3748,Mumbai,486,ASSAULT,68,M,Other,Violent Crime,1,No,,,,
3749,Patna,248,CYBERCRIME,18,F,Blunt Object,Other Crime,13,Yes,,,,
3750,Jaipur,129,FIREARM OFFENSE,46,F,Other,Fire Accident,14,Yes,,,,
3751,Jaipur,120,CYBERCRIME,33,M,Explosives,Other Crime,5,No,,,,
3752,Pune,496,HOMICIDE,21,F,Knife,Other Crime,4,Yes,,,,
3753,Vasai,154,SHOPLIFTING,11,F,None,Other Crime,3,No,,,,
3754,Bangalore,413,COUNTERFEITING,66,M,None,Other Crime,10,No,,,,
3755,Mumbai,160,ASSAULT,73,F,Firearm,Violent Crime,13,No,,,,
3756,Pune,272,SHOPLIFTING,19,F,Blunt Object,Other Crime,19,Yes,,,,
3757,Ghaziabad,117,ASSAULT,60,F,Firearm,Violent Crime,14,Yes,,,,
3758,Delhi,548,FRAUD,60,F,Explosives,Other Crime,8,Yes,,,,
3759,Surat,276,SHOPLIFTING,12,M,Poison,Other Crime,8,Yes,,,,
3760,Srinagar,568,ARSON,61,F,Blunt Object,Fire Accident,8,No,,,,
3761,Delhi,334,DOMESTIC VIOLENCE,40,M,Explosives,Violent Crime,16,No,,,,
3762,Bangalore,501,ROBBERY,59,M,Knife,Violent Crime,12,No,,,,
3763,Patna,582,FIREARM OFFENSE,34,F,None,Fire Accident,18,Yes,,,,
3764,Visakhapatnam,396,PUBLIC INTOXICATION,18,M,Poison,Other Crime,2,Yes,,,,
3765,Mumbai,229,SEXUAL ASSAULT,49,M,Knife,Violent Crime,13,Yes,,,,
3766,Bangalore,429,VEHICLE - STOLEN,57,M,Blunt Object,Violent Crime,19,No,,,,
3767,Agra,483,ROBBERY,24,F,Explosives,Violent Crime,2,Yes,,,,
3768,Bangalore,493,EXTORTION,27,F,Firearm,Other Crime,17,Yes,,,,
3769,Hyderabad,135,BURGLARY,74,F,Poison,Other Crime,12,No,,,,
3770,Bhopal,443,SHOPLIFTING,17,F,Blunt Object,Other Crime,1,No,,,,
3771,Vasai,431,VEHICLE - STOLEN,36,F,None,Violent Crime,19,Yes,,,,
3772,Mumbai,106,KIDNAPPING,64,F,Firearm,Other Crime,4,Yes,,,,
3773,Hyderabad,296,FIREARM OFFENSE,77,F,Explosives,Fire Accident,18,No,,,,
3774,Srinagar,342,TRAFFIC VIOLATION,74,F,Poison,Traffic Fatality,2,No,,,,
3775,Hyderabad,299,COUNTERFEITING,68,M,Other,Other Crime,18,Yes,,,,
3776,Ghaziabad,224,DRUG OFFENSE,58,F,None,Other Crime,13,Yes,,,,
3777,Thane,301,DRUG OFFENSE,59,M,Other,Other Crime,15,Yes,,,,
3778,Hyderabad,129,FRAUD,49,F,Blunt Object,Other Crime,16,No,,,,
3779,Chennai,320,VANDALISM,48,M,Explosives,Other Crime,18,No,,,,
3780,Jaipur,395,EXTORTION,20,M,None,Other Crime,16,No,,,,
3781,Thane,328,DOMESTIC VIOLENCE,36,M,Other,Violent Crime,13,Yes,,,,
3782,Kanpur,537,KIDNAPPING,21,F,Knife,Other Crime,3,No,,,,
3783,Mumbai,488,EXTORTION,33,F,None,Other Crime,19,No,,,,
3784,Hyderabad,256,PUBLIC INTOXICATION,38,M,Knife,Other Crime,7,Yes,,,,
3785,Ahmedabad,514,SEXUAL ASSAULT,52,F,Poison,Violent Crime,16,Yes,,,,
3786,Kolkata,127,IDENTITY THEFT,57,M,Blunt Object,Violent Crime,10,No,,,,
3787,Lucknow,435,KIDNAPPING,14,M,Poison,Other Crime,7,No,,,,
3788,Mumbai,119,ROBBERY,20,M,Blunt Object,Violent Crime,1,No,,,,
3789,Patna,596,VANDALISM,42,F,Other,Other Crime,19,No,,,,
3790,Pune,226,FRAUD,44,F,Other,Other Crime,3,No,,,,
3791,Ghaziabad,507,IDENTITY THEFT,79,F,None,Violent Crime,12,No,,,,
3792,Hyderabad,320,ARSON,18,F,Poison,Fire Accident,11,No,,,,
3793,Pune,394,VANDALISM,46,F,Other,Other Crime,1,No,,,,
3794,Jaipur,118,HOMICIDE,27,M,Other,Other Crime,13,No,,,,
3795,Lucknow,169,PUBLIC INTOXICATION,34,F,None,Other Crime,14,No,,,,
3796,Delhi,105,IDENTITY THEFT,26,F,Knife,Violent Crime,18,Yes,,,,
3797,Indore,574,HOMICIDE,13,F,Blunt Object,Other Crime,9,No,,,,
3798,Delhi,499,FIREARM OFFENSE,30,M,Firearm,Fire Accident,4,Yes,,,,
3799,Hyderabad,108,FRAUD,26,F,Explosives,Other Crime,5,No,,,,
3800,Bangalore,458,KIDNAPPING,33,F,Blunt Object,Other Crime,17,Yes,,,,
3801,Bangalore,374,ASSAULT,42,F,Poison,Violent Crime,13,Yes,,,,
3802,Kolkata,231,VANDALISM,15,F,Firearm,Other Crime,17,No,,,,
3803,Ghaziabad,252,KIDNAPPING,68,F,Poison,Other Crime,5,Yes,,,,
3804,Kalyan,503,SHOPLIFTING,69,F,Firearm,Other Crime,9,No,,,,
3805,Kolkata,233,PUBLIC INTOXICATION,18,M,Other,Other Crime,19,Yes,,,,
3806,Bangalore,588,BURGLARY,73,F,Poison,Other Crime,19,No,,,,
3807,Hyderabad,350,ARSON,61,F,Blunt Object,Fire Accident,7,No,,,,
3808,Rajkot,347,SEXUAL ASSAULT,25,F,Knife,Violent Crime,10,Yes,,,,
3809,Faridabad,354,CYBERCRIME,16,M,Explosives,Other Crime,3,No,,,,
3810,Hyderabad,533,VANDALISM,71,F,Explosives,Other Crime,5,Yes,,,,
3811,Hyderabad,444,ILLEGAL POSSESSION,51,F,Explosives,Other Crime,7,No,,,,
3812,Srinagar,554,HOMICIDE,72,M,Firearm,Other Crime,14,Yes,,,,
3813,Meerut,111,FIREARM OFFENSE,15,M,Other,Fire Accident,5,No,,,,
3814,Visakhapatnam,372,KIDNAPPING,61,F,Explosives,Other Crime,6,Yes,,,,
3815,Varanasi,460,ROBBERY,49,F,Blunt Object,Violent Crime,6,No,,,,
3816,Hyderabad,143,ASSAULT,38,F,Knife,Violent Crime,6,Yes,,,,
3817,Delhi,216,VEHICLE - STOLEN,16,M,None,Violent Crime,3,Yes,,,,
3818,Kolkata,308,PUBLIC INTOXICATION,74,M,Knife,Other Crime,15,Yes,,,,
3819,Hyderabad,466,SEXUAL ASSAULT,77,M,Blunt Object,Violent Crime,14,No,,,,
3820,Jaipur,249,PUBLIC INTOXICATION,20,F,Knife,Other Crime,16,No,,,,
3821,Bhopal,175,FRAUD,28,M,Explosives,Other Crime,17,No,,,,
3822,Pune,151,KIDNAPPING,46,M,Knife,Other Crime,13,Yes,,,,
3823,Kanpur,206,SEXUAL ASSAULT,31,F,Explosives,Violent Crime,11,No,,,,
3824,Ahmedabad,266,SHOPLIFTING,72,F,Knife,Other Crime,7,Yes,,,,
3825,Lucknow,517,IDENTITY THEFT,46,F,Firearm,Violent Crime,3,Yes,,,,
3826,Chennai,222,KIDNAPPING,18,F,Poison,Other Crime,15,No,,,,
3827,Chennai,353,COUNTERFEITING,62,F,None,Other Crime,7,No,,,,
3828,Pune,591,FIREARM OFFENSE,58,F,Knife,Fire Accident,19,No,,,,
3829,Bangalore,349,DOMESTIC VIOLENCE,17,M,None,Violent Crime,10,Yes,,,,
3830,Kanpur,418,EXTORTION,14,F,Explosives,Other Crime,13,No,,,,
3831,Ahmedabad,243,VANDALISM,56,M,Knife,Other Crime,14,Yes,,,,
3832,Pune,372,KIDNAPPING,23,F,Firearm,Other Crime,11,Yes,,,,
3833,Delhi,579,DOMESTIC VIOLENCE,62,F,Firearm,Violent Crime,19,No,,,,
3834,Pune,278,SEXUAL ASSAULT,75,F,Poison,Violent Crime,18,No,,,,
3835,Bangalore,158,TRAFFIC VIOLATION,68,M,Knife,Traffic Fatality,4,No,,,,
3836,Nashik,536,FIREARM OFFENSE,25,M,Firearm,Fire Accident,10,Yes,,,,
3837,Kanpur,587,KIDNAPPING,73,F,Poison,Other Crime,12,Yes,,,,
3838,Hyderabad,299,VEHICLE - STOLEN,35,F,Firearm,Violent Crime,12,Yes,,,,
3839,Kalyan,233,EXTORTION,40,F,Firearm,Other Crime,14,Yes,,,,
3840,Jaipur,179,EXTORTION,60,M,Firearm,Other Crime,12,Yes,,,,
3841,Chennai,215,IDENTITY THEFT,23,M,Other,Violent Crime,10,No,,,,
3842,Patna,488,CYBERCRIME,75,M,Other,Other Crime,13,No,,,,
3843,Hyderabad,195,SEXUAL ASSAULT,17,F,Blunt Object,Violent Crime,4,Yes,,,,
3844,Kolkata,304,ROBBERY,19,F,Knife,Violent Crime,2,No,,,,
3845,Kolkata,462,VANDALISM,19,F,Knife,Other Crime,17,Yes,,,,
3846,Surat,543,DRUG OFFENSE,20,F,Knife,Other Crime,14,Yes,,,,
3847,Visakhapatnam,104,FIREARM OFFENSE,19,F,Poison,Fire Accident,7,Yes,,,,
3848,Hyderabad,205,CYBERCRIME,10,M,Knife,Other Crime,4,No,,,,
3849,Bangalore,448,CYBERCRIME,23,F,Blunt Object,Other Crime,19,Yes,,,,
3850,Kolkata,144,HOMICIDE,69,F,Other,Other Crime,7,No,,,,
3851,Nashik,228,FIREARM OFFENSE,49,F,Knife,Fire Accident,2,Yes,,,,
3852,Kolkata,152,ROBBERY,51,F,Poison,Violent Crime,7,No,,,,
3853,Srinagar,536,SEXUAL ASSAULT,35,M,Firearm,Violent Crime,16,Yes,,,,
3854,Ahmedabad,284,EXTORTION,53,F,None,Other Crime,11,No,,,,
3855,Delhi,194,BURGLARY,39,F,Knife,Other Crime,7,Yes,,,,
3856,Bangalore,490,ASSAULT,52,F,Poison,Violent Crime,18,No,,,,
3857,Bhopal,224,FRAUD,71,F,Blunt Object,Other Crime,3,Yes,,,,
3858,Hyderabad,555,TRAFFIC VIOLATION,34,F,Poison,Traffic Fatality,6,Yes,,,,
3859,Kolkata,493,FRAUD,42,M,Explosives,Other Crime,18,Yes,,,,
3860,Nagpur,156,FRAUD,52,F,Knife,Other Crime,11,Yes,,,,
3861,Ahmedabad,469,BURGLARY,20,F,Firearm,Other Crime,11,No,,,,
3862,Agra,322,COUNTERFEITING,74,F,Explosives,Other Crime,9,Yes,,,,
3863,Delhi,405,SHOPLIFTING,13,M,Blunt Object,Other Crime,14,Yes,,,,
3864,Bangalore,442,SHOPLIFTING,56,M,None,Other Crime,9,Yes,,,,
3865,Pune,302,TRAFFIC VIOLATION,44,M,Poison,Traffic Fatality,14,Yes,,,,
3866,Delhi,460,ROBBERY,75,M,Other,Violent Crime,15,No,,,,
3867,Kolkata,158,DRUG OFFENSE,43,F,Firearm,Other Crime,9,No,,,,
3868,Jaipur,102,KIDNAPPING,34,M,None,Other Crime,3,No,,,,
3869,Ahmedabad,274,DOMESTIC VIOLENCE,67,F,None,Violent Crime,8,Yes,,,,
3870,Delhi,588,FRAUD,59,M,Firearm,Other Crime,7,No,,,,
3871,Bangalore,190,FIREARM OFFENSE,24,F,Poison,Fire Accident,11,No,,,,
3872,Pune,200,KIDNAPPING,10,F,None,Other Crime,4,Yes,,,,
3873,Bangalore,146,ROBBERY,67,F,Firearm,Violent Crime,10,Yes,,,,
3874,Indore,328,ASSAULT,13,F,Knife,Violent Crime,5,No,,,,
3875,Bangalore,293,DRUG OFFENSE,21,F,Other,Other Crime,3,No,,,,
3876,Ahmedabad,401,SHOPLIFTING,59,M,Blunt Object,Other Crime,16,Yes,,,,
3877,Indore,248,BURGLARY,39,M,Blunt Object,Other Crime,15,Yes,,,,
3878,Nagpur,364,TRAFFIC VIOLATION,52,F,Knife,Traffic Fatality,4,No,,,,
3879,Ahmedabad,261,SEXUAL ASSAULT,41,F,Explosives,Violent Crime,5,Yes,,,,
3880,Bangalore,445,ARSON,54,F,Knife,Fire Accident,19,No,,,,
3881,Bangalore,354,ROBBERY,36,M,Knife,Violent Crime,11,Yes,,,,
3882,Hyderabad,455,EXTORTION,22,F,Firearm,Other Crime,7,Yes,,,,
3883,Delhi,192,IDENTITY THEFT,30,F,Knife,Violent Crime,15,No,,,,
3884,Lucknow,346,VEHICLE - STOLEN,22,F,None,Violent Crime,8,No,,,,
3885,Chennai,212,FRAUD,63,F,Poison,Other Crime,11,Yes,,,,
3886,Kanpur,184,DRUG OFFENSE,65,F,Other,Other Crime,7,Yes,,,,
3887,Bangalore,425,VANDALISM,50,F,Knife,Other Crime,5,No,,,,
3888,Agra,241,HOMICIDE,32,M,Blunt Object,Other Crime,4,Yes,,,,
3889,Pune,113,KIDNAPPING,17,F,Firearm,Other Crime,10,No,,,,
3890,Bangalore,250,DRUG OFFENSE,13,F,Knife,Other Crime,16,Yes,,,,
3891,Jaipur,304,DRUG OFFENSE,15,M,Blunt Object,Other Crime,3,No,,,,
3892,Bhopal,324,SEXUAL ASSAULT,48,F,Explosives,Violent Crime,11,Yes,,,,
3893,Pune,404,DRUG OFFENSE,40,F,Explosives,Other Crime,14,Yes,,,,
3894,Mumbai,599,VANDALISM,72,F,Firearm,Other Crime,15,Yes,,,,
3895,Bangalore,526,FIREARM OFFENSE,21,M,Blunt Object,Fire Accident,16,No,,,,
3896,Ghaziabad,214,ROBBERY,65,F,Knife,Violent Crime,17,No,,,,
3897,Agra,452,KIDNAPPING,42,F,Knife,Other Crime,12,Yes,,,,
3898,Kolkata,431,ILLEGAL POSSESSION,20,M,Other,Other Crime,15,No,,,,
3899,Kolkata,371,PUBLIC INTOXICATION,72,F,None,Other Crime,17,Yes,,,,
3900,Lucknow,223,EXTORTION,15,F,Knife,Other Crime,11,No,,,,
3901,Nagpur,315,DRUG OFFENSE,22,F,Other,Other Crime,5,Yes,,,,
3902,Chennai,334,HOMICIDE,43,M,Poison,Other Crime,19,Yes,,,,
3903,Kalyan,186,IDENTITY THEFT,39,F,Knife,Violent Crime,11,Yes,,,,
3904,Hyderabad,599,ROBBERY,41,F,None,Violent Crime,17,Yes,,,,
3905,Lucknow,219,BURGLARY,72,F,Knife,Other Crime,11,Yes,,,,
3906,Mumbai,455,IDENTITY THEFT,16,F,Blunt Object,Violent Crime,18,Yes,,,,
3907,Mumbai,202,KIDNAPPING,72,F,Knife,Other Crime,6,Yes,,,,
3908,Hyderabad,407,VEHICLE - STOLEN,13,M,None,Violent Crime,6,Yes,,,,
3909,Ahmedabad,453,COUNTERFEITING,71,M,Explosives,Other Crime,6,Yes,,,,
3910,Jaipur,136,COUNTERFEITING,38,F,Explosives,Other Crime,3,No,,,,
3911,Delhi,392,CYBERCRIME,56,F,Explosives,Other Crime,9,Yes,,,,
3912,Kanpur,486,SHOPLIFTING,42,F,Explosives,Other Crime,6,No,,,,
3913,Lucknow,477,FIREARM OFFENSE,17,F,Firearm,Fire Accident,9,No,,,,
3914,Surat,493,SEXUAL ASSAULT,69,F,Poison,Violent Crime,17,Yes,,,,
3915,Pune,304,IDENTITY THEFT,41,F,Firearm,Violent Crime,6,Yes,,,,
3916,Delhi,422,EXTORTION,54,F,None,Other Crime,6,No,,,,
3917,Varanasi,300,EXTORTION,76,F,Knife,Other Crime,1,No,,,,
3918,Chennai,582,IDENTITY THEFT,77,F,Explosives,Violent Crime,4,No,,,,
3919,Bangalore,331,SEXUAL ASSAULT,65,M,Explosives,Violent Crime,5,Yes,,,,
3920,Vasai,128,ARSON,71,F,Poison,Fire Accident,3,Yes,,,,
3921,Patna,237,KIDNAPPING,59,F,Other,Other Crime,3,Yes,,,,
3922,Jaipur,166,ILLEGAL POSSESSION,72,F,Firearm,Other Crime,3,Yes,,,,
3923,Ahmedabad,112,ILLEGAL POSSESSION,61,F,Blunt Object,Other Crime,11,Yes,,,,
3924,Bangalore,357,HOMICIDE,40,M,Other,Other Crime,10,Yes,,,,
3925,Bangalore,261,COUNTERFEITING,29,F,Other,Other Crime,15,No,,,,
3926,Delhi,364,SEXUAL ASSAULT,46,F,Other,Violent Crime,10,No,,,,
3927,Kolkata,123,FIREARM OFFENSE,42,M,Blunt Object,Fire Accident,6,Yes,,,,
3928,Patna,410,PUBLIC INTOXICATION,57,M,Firearm,Other Crime,18,Yes,,,,
3929,Jaipur,249,KIDNAPPING,21,F,None,Other Crime,18,Yes,,,,
3930,Lucknow,393,FIREARM OFFENSE,51,F,Other,Fire Accident,6,Yes,,,,
3931,Bangalore,157,PUBLIC INTOXICATION,76,F,Knife,Other Crime,1,No,,,,
3932,Bangalore,396,HOMICIDE,44,M,Explosives,Other Crime,16,Yes,,,,
3933,Chennai,533,ARSON,40,F,Other,Fire Accident,6,Yes,,,,
3934,Delhi,194,COUNTERFEITING,64,F,Blunt Object,Other Crime,7,Yes,,,,
3935,Mumbai,316,ARSON,62,M,Poison,Fire Accident,4,No,,,,
3936,Kanpur,116,HOMICIDE,68,F,Blunt Object,Other Crime,6,Yes,,,,
3937,Delhi,361,SHOPLIFTING,66,F,Poison,Other Crime,11,Yes,,,,
3938,Agra,366,ILLEGAL POSSESSION,61,F,Firearm,Other Crime,14,Yes,,,,
3939,Mumbai,540,DOMESTIC VIOLENCE,13,M,Firearm,Violent Crime,12,Yes,,,,
3940,Bhopal,518,CYBERCRIME,33,F,Other,Other Crime,7,No,,,,
3941,Agra,394,FIREARM OFFENSE,70,F,Explosives,Fire Accident,12,Yes,,,,
3942,Mumbai,336,BURGLARY,13,F,None,Other Crime,8,Yes,,,,
3943,Mumbai,282,ROBBERY,14,F,Other,Violent Crime,9,No,,,,
3944,Mumbai,305,ARSON,33,F,None,Fire Accident,15,Yes,,,,
3945,Bangalore,181,HOMICIDE,77,F,None,Other Crime,14,Yes,,,,
3946,Mumbai,279,FIREARM OFFENSE,72,F,Other,Fire Accident,3,Yes,,,,
3947,Chennai,457,VEHICLE - STOLEN,73,F,Knife,Violent Crime,14,No,,,,
3948,Indore,588,ROBBERY,34,M,Knife,Violent Crime,12,Yes,,,,
3949,Visakhapatnam,568,PUBLIC INTOXICATION,41,F,Poison,Other Crime,11,Yes,,,,
3950,Nagpur,179,CYBERCRIME,64,F,Other,Other Crime,4,Yes,,,,
3951,Kanpur,353,ARSON,60,M,None,Fire Accident,7,Yes,,,,
3952,Delhi,363,DOMESTIC VIOLENCE,39,F,Firearm,Violent Crime,14,No,,,,
3953,Pune,215,FIREARM OFFENSE,61,F,Poison,Fire Accident,18,Yes,,,,
3954,Patna,105,FRAUD,60,F,Knife,Other Crime,9,No,,,,
3955,Pune,535,ROBBERY,77,F,Other,Violent Crime,11,Yes,,,,
3956,Jaipur,591,ARSON,33,F,None,Fire Accident,15,Yes,,,,
3957,Bangalore,500,ROBBERY,38,F,None,Violent Crime,18,Yes,,,,
3958,Delhi,124,HOMICIDE,22,F,Other,Other Crime,15,Yes,,,,
3959,Bangalore,319,ARSON,20,F,None,Fire Accident,13,Yes,,,,
3960,Bangalore,182,FIREARM OFFENSE,24,M,None,Fire Accident,2,No,,,,
3961,Mumbai,292,SEXUAL ASSAULT,25,F,Other,Violent Crime,2,Yes,,,,
3962,Delhi,228,VANDALISM,43,M,Poison,Other Crime,12,No,,,,
3963,Pune,262,IDENTITY THEFT,29,F,Explosives,Violent Crime,11,No,,,,
3964,Hyderabad,165,ROBBERY,14,M,Knife,Violent Crime,11,Yes,,,,
3965,Chennai,259,DOMESTIC VIOLENCE,37,F,Blunt Object,Violent Crime,12,Yes,,,,
3966,Mumbai,205,DRUG OFFENSE,20,M,Firearm,Other Crime,8,Yes,,,,
3967,Jaipur,233,DRUG OFFENSE,30,F,Knife,Other Crime,8,Yes,,,,
3968,Hyderabad,529,VANDALISM,21,F,None,Other Crime,12,Yes,,,,
3969,Varanasi,217,KIDNAPPING,71,M,None,Other Crime,19,No,,,,
3970,Ludhiana,277,ILLEGAL POSSESSION,30,F,None,Other Crime,15,No,,,,
3971,Bangalore,108,DOMESTIC VIOLENCE,19,F,Blunt Object,Violent Crime,10,No,,,,
3972,Mumbai,443,DOMESTIC VIOLENCE,76,F,Knife,Violent Crime,17,No,,,,
3973,Mumbai,253,ROBBERY,30,M,Firearm,Violent Crime,15,Yes,,,,
3974,Delhi,405,FIREARM OFFENSE,41,F,Poison,Fire Accident,18,No,,,,
3975,Jaipur,411,BURGLARY,68,M,Other,Other Crime,1,Yes,,,,
3976,Kolkata,173,SHOPLIFTING,40,F,None,Other Crime,8,No,,,,
3977,Kolkata,490,ROBBERY,33,F,Knife,Violent Crime,11,Yes,,,,
3978,Mumbai,324,SHOPLIFTING,21,F,Explosives,Other Crime,1,Yes,,,,
3979,Bangalore,249,TRAFFIC VIOLATION,48,F,Other,Traffic Fatality,9,No,,,,
3980,Delhi,140,HOMICIDE,58,F,Other,Other Crime,8,Yes,,,,
3981,Hyderabad,532,ILLEGAL POSSESSION,19,M,Other,Other Crime,9,Yes,,,,
3982,Thane,504,VANDALISM,10,F,Other,Other Crime,4,Yes,,,,
3983,Visakhapatnam,165,BURGLARY,68,F,Explosives,Other Crime,12,No,,,,
3984,Bangalore,288,ILLEGAL POSSESSION,25,F,Firearm,Other Crime,16,No,,,,
3985,Kolkata,301,FIREARM OFFENSE,72,F,Blunt Object,Fire Accident,8,No,,,,
3986,Delhi,426,ASSAULT,50,F,Other,Violent Crime,7,Yes,,,,
3987,Kanpur,313,SEXUAL ASSAULT,28,M,Other,Violent Crime,9,Yes,,,,
3988,Delhi,301,COUNTERFEITING,60,F,Blunt Object,Other Crime,3,Yes,,,,
3989,Ahmedabad,197,SHOPLIFTING,39,F,Blunt Object,Other Crime,19,Yes,,,,
3990,Nagpur,504,EXTORTION,69,M,Firearm,Other Crime,6,Yes,,,,
3991,Chennai,443,CYBERCRIME,26,M,Explosives,Other Crime,17,No,,,,
3992,Ahmedabad,139,CYBERCRIME,71,F,Knife,Other Crime,13,Yes,,,,
3993,Lucknow,341,PUBLIC INTOXICATION,19,F,Poison,Other Crime,8,Yes,,,,
3994,Kanpur,458,COUNTERFEITING,46,F,Knife,Other Crime,12,Yes,,,,
3995,Lucknow,151,FRAUD,35,M,Blunt Object,Other Crime,11,No,,,,
3996,Surat,296,TRAFFIC VIOLATION,14,F,Poison,Traffic Fatality,10,Yes,,,,
3997,Hyderabad,223,IDENTITY THEFT,70,M,Firearm,Violent Crime,8,No,,,,
3998,Visakhapatnam,289,FRAUD,47,F,Blunt Object,Other Crime,19,Yes,,,,
3999,Delhi,551,EXTORTION,31,F,Explosives,Other Crime,7,No,,,,
4000,Faridabad,168,ILLEGAL POSSESSION,30,F,Knife,Other Crime,14,No,,,,
4001,Bhopal,216,SEXUAL ASSAULT,79,M,Other,Violent Crime,11,No,,,,
4002,Ahmedabad,126,FRAUD,16,F,Knife,Other Crime,2,No,,,,
4003,Kolkata,563,TRAFFIC VIOLATION,35,M,Explosives,Traffic Fatality,17,No,,,,
4004,Bangalore,104,EXTORTION,56,F,Blunt Object,Other Crime,12,No,,,,
